NAME,SSN,DEPARTMENTCODE,ADDRESS,PHONE,BIRTHDATE,SEX,JOBCODE,SALARY
Ahmed Mahmoud,EG-295101,IT-CAI,"15 Tahrir St, Downtown, Cairo",0101234567,15051995,M,DEV1,18000
Fatima Hassan,EG-298032,HR-EG,"42 Gamal Abdel Nasser Rd, Giza",0112345678,22081998,F,HR02,15500
Khaled Ibrahim,EG-291113,FIN-ALX,"123 Fouad St, Alexandria",0123456789,10111991,M,FIN1,22000
Nour El Sherif,EG-299044,MKT-LUX,"7 Cornish El Nile, Luxor",0154567890,04041999,F,MKT3,16000
Youssef Ali,EG-288055,OPS-ASW,"El Souk St, Aswan",0105678901,30071988,M,OPS1,19500
Laila Mostafa,EG-301066,IT-CAI,"8 Abbas El Akkad St, Nasr City, Cairo",0116789012,11012001,F,DEV2,21000
Omar Said,EG-293077,HR-EG,"90 El Merghany St, Heliopolis",0127890123,19091993,M,HR01,17000
Hana Adel,EG-296088,FIN-ALX,"26th of July Corridor, Alexandria",0158901234,05061996,F,FIN2,20500
Amr Diab,EG-290099,MKT-LUX,"Khaled Ibn Walid St, Luxor",0109012345,28021990,M,MKT1,25000
Salma Tarek,EG-300101,OPS-ASW,"Gezira St, Aswan",0110123456,14122000,F,OPS2,18500
Mohamed Salah,EG-285112,IT-CAI,"27 Mosaddak St, Dokki, Cairo",0121234567,23031985,M,DEV3,28000
Farida Hesham,EG-297123,HR-EG,"5 El Thawra St, Mohandessin",0152345678,17081997,F,HR03,16500
Ezzat Abou Aouf,EG-292134,FIN-ALX,"Saad Zaghloul Square, Alexandria",0103456789,09101992,M,FIN3,24000
Dina El Wedidi,EG-299145,MKT-LUX,"Temple of Karnak St, Luxor",0114567890,25051999,F,MKT2,19000
Karim Abdelaziz,EG-289156,OPS-ASW,"Nubian Village, Gharb Seheil",0125678901,12061989,M,OPS3,21500
Aya Nassar,EG-302167,IT-CAI,"44 Ramses St, Downtown, Cairo",0156789012,31012002,F,DEV1,18500
Tamer Hosny,EG-294178,HR-EG,"112 El Haram St, Giza",0107890123,16071994,M,HR02,16000
Yasmine Sabri,EG-298189,FIN-ALX,"Green Plaza, Smouha, Alexandria",0118901234,02041998,F,FIN1,23000
Adel Emam,EG-287190,MKT-LUX,"Television St, Luxor",0129012345,20111987,M,MKT3,27000
Mona Zaki,EG-299201,OPS-ASW,"Philae Temple Rd, Aswan",0150123456,18091999,F,OPS1,20000
Ahmed Helmy,EG-291212,IT-CAI,"3 Geziret El Arab St, Mohandessin",0101122334,14021991,M,DEVM,35000
Ghada Adel,EG-296223,HR-EG,"20 Shehab St, Mohandessin, Giza",0112233445,29061996,F,HRM,32000
Mahmoud El Esseily,EG-293234,FIN-ALX,"1 Syria St, Roushdy, Alexandria",0123344556,13081993,M,FINM,38000
Angham Mohamed,EG-297245,MKT-LUX,"El-Mahata Square, Luxor",0154455667,24101997,F,MKTM,36000
Hesham Abbas,EG-288256,OPS-ASW,"Abu Simbel Temple Rd, Aswan",0105566778,07121988,M,OPSM,34000
Sherine Abdel-Wahab,EG-300267,IT-CAI,"9 Talaat Harb St, Downtown, Cairo",0116677889,19012000,F,DEV2,22000
Amr Waked,EG-290278,EXEC-HQ,"1 Abdel Khalek Sarwat, Cairo",0127788990,21041990,M,CEO,80000
